FIPS,# of Food Insecure Persons Overall (1 Year)
1001,8070
1003,27070
1005,4870
1007,3680
1009,7980
1011,1620
1013,3210
1015,18430
1017,5040
1019,3700
1021,7000
1023,2160
1025,4560
1027,1950
1029,2410
1031,7620
1033,8740
1035,1950
1037,1500
1039,6080
1041,2110
1043,12260
1045,8440
1047,7760
1049,11450
1051,10170
1053,6680
1055,16790
1057,2930
1059,4690
1061,4850
1063,1840
1065,2840
1067,2340
1069,16130
1071,8710
1073,93140
1075,2380
1077,13000
1079,5380
1081,22990
1083,12530
1085,2000
1087,3030
1089,43590
1091,3250
1093,5290
1095,14630
1097,65050
1099,3840
1101,35470
1103,16990
1105,2090
1107,3720
1109,5040
1111,3430
1113,9730
1115,11630
1117,20860
1119,2360
1121,13220
1123,6420
1125,29840
1127,11040
1129,2460
1131,2270
1133,4020
2013,330
2016,570
2020,29270
2050,3720
2060,80
2068,410
2070,720
2090,9040
2100,430
2105,300
2110,2980
2122,7550
2130,1690
2150,1330
2158,2230
2164,170
2170,11920
2180,1690
2185,1030
2188,1400
2195,360
2198,1050
2220,860
2230,220
2240,830
2275,280
2282,60
2290,980
4001,16230
4003,15880
4005,20730
4007,8550
4009,5300
4011,1020
4012,3680
4013,487340
4015,34670
4017,21160
4019,130860
4021,49680
4023,6540
4025,30260
4027,34400
5001,2610
5003,3330
5005,6540
5007,29270
5009,5780
5011,1620
5013,670
5015,3920
5017,2160
5019,3790
5021,2760
5023,4040
5025,1170
5027,4110
5029,3750
5031,17490
5033,10050
5035,8080
5037,2640
5039,1000
5041,2010
5043,2830
5045,17810
5047,3400
5049,2190
5051,17410
5053,2590
5055,7700
5057,3370
5059,5330
5061,2010
5063,5810
5065,2450
5067,3270
5069,11080
5071,4430
5073,1260
5075,2800
5077,1740
5079,2010
5081,1760
5083,3730
5085,9850
5087,2540
5089,3010
5091,7090
5093,7590
5095,1260
5097,1630
5099,1410
5101,1090
5103,4000
5105,1660
5107,4020
5109,1830
5111,4330
5113,3770
5115,9450
5117,1140
5119,57690
5121,3150
5123,4970
5125,14010
5127,1680
5129,1600
5131,21040
5133,2580
5135,3130
5137,2430
5139,6210
5141,2930
5143,31830
