FIPS,State,"County, State",Year,Overall Food Insecurity Rate (1 Year),# of Food Insecure Persons Overall (1 Year),Food Insecurity Rate among Black Persons (all ethnicities),Food Insecurity Rate among Hispanic Persons (any race),"Food Insecurity Rate among White, non-Hispanic Persons ",Low Threshold in state,Low Threshold Type,High Threshold in state,High Threshold Type,% FI ≤ Low Threshold,% FI Btwn Thresholds,% FI > High Threshold,Child Food Insecurity Rate (1 Year),# of Food Insecure Children (1 Year),% food insecure children in HH w/ HH incomes below 185 FPL,% food insecure children in HH w/ HH incomes above 185 FPL,Cost Per Meal (1 Year),Weighted weekly $ needed by FI,Weighted Annual Food Budget Shortfall
1001,AL,"Autauga County, Alabama",2020,14.50%,"8,070",25%,,9%,130%,SNAP,185%,Other Nutrition Program,47.60%,14.70%,37.70%,18.10%,"2,380",71%,29%,$3.22 ,$17.09 ,"$4,184,000.00 "
1003,AL,"Baldwin County, Alabama",2020,12.40%,"27,070",24%,11%,8%,130%,SNAP,185%,Other Nutrition Program,37.50%,22.30%,40.30%,12.00%,"5,650",82%,18%,$3.72 ,$19.72 ,"$16,195,000.00 "
1005,AL,"Barbour County, Alabama",2020,19.50%,"4,870",32%,24%,11%,130%,SNAP,185%,Other Nutrition Program,61.50%,7.00%,31.50%,33.40%,"1,740",82%,18%,$3.19 ,$16.96 ,"$2,505,000.00 "
1007,AL,"Bibb County, Alabama",2020,16.40%,"3,680",32%,8%,11%,130%,SNAP,185%,Other Nutrition Program,48.40%,22.20%,29.50%,21.60%,990,87%,13%,$3.09 ,$16.41 ,"$1,831,000.00 "
1009,AL,"Blount County, Alabama",2020,13.80%,"7,980",16%,14%,11%,130%,SNAP,185%,Other Nutrition Program,45.20%,29.30%,25.50%,12.70%,"1,700",100%,0%,$3.06 ,$16.26 ,"$3,937,000.00 "
1011,AL,"Bullock County, Alabama",2020,16.00%,"1,620",26%,,,130%,SNAP,185%,Other Nutrition Program,67.90%,0.20%,31.90%,31.10%,710,88%,12%,$3.55 ,$18.85 ,"$926,000.00 "
1013,AL,"Butler County, Alabama",2020,16.30%,"3,210",28%,,9%,130%,SNAP,185%,Other Nutrition Program,60.90%,11.50%,27.60%,28.20%,"1,240",82%,18%,$3.02 ,$16.05 ,"$1,563,000.00 "
1015,AL,"Calhoun County, Alabama",2020,16.10%,"18,430",28%,12%,11%,130%,SNAP,185%,Other Nutrition Program,55.40%,20.20%,24.40%,21.80%,"5,400",83%,17%,$3.13 ,$16.61 ,"$9,288,000.00 "
1017,AL,"Chambers County, Alabama",2020,15.10%,"5,040",22%,,11%,130%,SNAP,185%,Other Nutrition Program,57.30%,23.40%,19.30%,24.80%,"1,720",89%,12%,$3.12 ,$16.56 ,"$2,532,000.00 "
1019,AL,"Cherokee County, Alabama",2020,14.20%,"3,700",,,10%,130%,SNAP,185%,Other Nutrition Program,51.90%,29.30%,18.80%,13.20%,660,88%,12%,$3.10 ,$16.45 ,"$1,846,000.00 "
1021,AL,"Chilton County, Alabama",2020,15.90%,"7,000",26%,15%,12%,130%,SNAP,185%,Other Nutrition Program,53.30%,24.00%,22.70%,17.00%,"1,800",94%,6%,$3.19 ,$16.91 ,"$3,591,000.00 "
1023,AL,"Choctaw County, Alabama",2020,16.90%,"2,160",27%,,9%,130%,SNAP,185%,Other Nutrition Program,54.60%,19.10%,26.30%,27.60%,700,69%,31%,$3.08 ,$16.33 ,"$1,070,000.00 "
1025,AL,"Clarke County, Alabama",2020,19.10%,"4,560",32%,,13%,130%,SNAP,185%,Other Nutrition Program,63.40%,9.20%,27.40%,29.00%,"1,500",71%,29%,$3.02 ,$16.03 ,"$2,217,000.00 "
1027,AL,"Clay County, Alabama",2020,14.70%,"1,950",28%,,11%,130%,SNAP,185%,Other Nutrition Program,51.30%,31.70%,16.90%,16.80%,460,100%,0%,$2.94 ,$15.61 ,"$924,000.00 "
1029,AL,"Cleburne County, Alabama",2020,16.10%,"2,410",,,11%,130%,SNAP,185%,Other Nutrition Program,47.60%,30.30%,22.10%,15.80%,530,100%,0%,$3.16 ,$16.77 ,"$1,226,000.00 "
1031,AL,"Coffee County, Alabama",2020,14.60%,"7,620",29%,15%,10%,130%,SNAP,185%,Other Nutrition Program,50.00%,19.00%,31.00%,18.80%,"2,320",83%,17%,$3.58 ,$19.01 ,"$4,394,000.00 "
1033,AL,"Colbert County, Alabama",2020,15.90%,"8,740",26%,,10%,130%,SNAP,185%,Other Nutrition Program,44.80%,22.10%,33.00%,19.60%,"2,260",82%,18%,$3.14 ,$16.68 ,"$4,423,000.00 "
1035,AL,"Conecuh County, Alabama",2020,16.00%,"1,950",25%,,12%,130%,SNAP,185%,Other Nutrition Program,61.20%,32.80%,6.00%,29.90%,760,94%,6%,$3.10 ,$16.46 ,"$973,000.00 "
1037,AL,"Coosa County, Alabama",2020,14.00%,"1,500",21%,,8%,130%,SNAP,185%,Other Nutrition Program,47.80%,27.00%,25.20%,24.00%,420,82%,18%,$3.33 ,$17.68 ,"$805,000.00 "
1039,AL,"Covington County, Alabama",2020,16.40%,"6,080",33%,19%,12%,130%,SNAP,185%,Other Nutrition Program,50.40%,21.90%,27.70%,18.80%,"1,520",83%,17%,$3.05 ,$16.20 ,"$2,988,000.00 "
1041,AL,"Crenshaw County, Alabama",2020,15.20%,"2,110",24%,,10%,130%,SNAP,185%,Other Nutrition Program,53.20%,33.20%,13.60%,20.10%,620,91%,9%,$3.58 ,$19.02 ,"$1,218,000.00 "
1043,AL,"Cullman County, Alabama",2020,14.70%,"12,260",17%,11%,11%,130%,SNAP,185%,Other Nutrition Program,41.80%,30.60%,27.60%,13.50%,"2,520",93%,7%,$3.36 ,$17.83 ,"$6,631,000.00 "
1045,AL,"Dale County, Alabama",2020,17.10%,"8,440",33%,11%,14%,130%,SNAP,185%,Other Nutrition Program,55.20%,18.70%,26.10%,24.10%,"2,730",87%,13%,$3.15 ,$16.71 ,"$4,278,000.00 "
1047,AL,"Dallas County, Alabama",2020,20.30%,"7,760",33%,,10%,130%,SNAP,185%,Other Nutrition Program,75.80%,0.50%,23.70%,39.50%,"3,640",77%,23%,$3.24 ,$17.17 ,"$4,043,000.00 "
1049,AL,"DeKalb County, Alabama",2020,16.00%,"11,450",22%,17%,12%,130%,SNAP,185%,Other Nutrition Program,59.10%,27.10%,13.80%,17.20%,"2,980",100%,0%,$3.02 ,$16.04 ,"$5,573,000.00 "
1051,AL,"Elmore County, Alabama",2020,12.50%,"10,170",25%,15%,8%,130%,SNAP,185%,Other Nutrition Program,38.90%,17.80%,43.30%,15.40%,"2,790",78%,22%,$3.44 ,$18.25 ,"$5,631,000.00 "
1053,AL,"Escambia County, Alabama",2020,18.20%,"6,680",35%,,13%,130%,SNAP,185%,Other Nutrition Program,61.80%,14.50%,23.70%,26.20%,"2,160",94%,6%,$3.09 ,$16.40 ,"$3,323,000.00 "
1055,AL,"Etowah County, Alabama",2020,16.30%,"16,790",28%,16%,11%,130%,SNAP,185%,Other Nutrition Program,52.50%,20.70%,26.70%,21.90%,"4,840",85%,15%,$3.23 ,$17.13 ,"$8,727,000.00 "
1057,AL,"Fayette County, Alabama",2020,17.80%,"2,930",36%,,14%,130%,SNAP,185%,Other Nutrition Program,56.30%,25.30%,18.30%,21.50%,750,86%,15%,$3.02 ,$16.03 ,"$1,424,000.00 "
1059,AL,"Franklin County, Alabama",2020,14.90%,"4,690",25%,13%,12%,130%,SNAP,185%,Other Nutrition Program,58.90%,25.00%,16.00%,18.60%,"1,470",100%,0%,$2.83 ,$15.00 ,"$2,134,000.00 "
1061,AL,"Geneva County, Alabama",2020,18.40%,"4,850",28%,18%,13%,130%,SNAP,185%,Other Nutrition Program,57.90%,17.60%,24.50%,21.80%,"1,260",87%,13%,$3.10 ,$16.45 ,"$2,421,000.00 "
1063,AL,"Greene County, Alabama",2020,22.30%,"1,840",32%,,11%,130%,SNAP,185%,Other Nutrition Program,88.90%,11.10%,0.00%,42.30%,750,91%,9%,$3.43 ,$18.21 ,"$1,016,000.00 "
1065,AL,"Hale County, Alabama",2020,19.20%,"2,840",27%,,11%,130%,SNAP,185%,Other Nutrition Program,68.90%,13.30%,17.80%,33.10%,"1,130",91%,9%,$3.54 ,$18.77 ,"$1,617,000.00 "
1067,AL,"Henry County, Alabama",2020,13.70%,"2,340",26%,,9%,130%,SNAP,185%,Other Nutrition Program,49.80%,19.10%,31.10%,19.30%,690,70%,30%,$3.45 ,$18.33 ,"$1,301,000.00 "
